label,freq,freq1/2,freq2/2,freq1/3,freq2/3,freq3/3,substru,deltaG,Stem_comp
constitutive,0.5571428571428572,0.5,0.6142857142857143,0.391304347826087,0.6304347826086957,0.6739130434782609,3,-37.3,7.8
constitutive,0.5571428571428572,0.5142857142857142,0.6,0.5217391304347826,0.6304347826086957,0.5434782608695652,4,-34.0,4.875
constitutive,0.5857142857142857,0.5,0.6714285714285714,0.5652173913043478,0.5217391304347826,0.6956521739130435,5,-38.5,4.2631578947368425
constitutive,0.5428571428571428,0.5,0.5857142857142857,0.43478260869565216,0.6521739130434783,0.5652173913043478,3,-27.6,5.846153846153846
constitutive,0.6428571428571429,0.6142857142857143,0.6714285714285714,0.5434782608695652,0.717391304347826,0.6956521739130435,3,-58.2,5.5
constitutive,0.6428571428571429,0.6714285714285714,0.6142857142857143,0.6521739130434783,0.7608695652173914,0.5434782608695652,5,-55.5,4.944444444444445
constitutive,0.6,0.5714285714285714,0.6285714285714286,0.6304347826086957,0.5869565217391305,0.6086956521739131,3,-35.2,4.666666666666667
constitutive,0.6142857142857143,0.6142857142857143,0.6142857142857143,0.6739130434782609,0.6304347826086957,0.5652173913043478,3,-36.2,3.739130434782609
constitutive,0.4714285714285714,0.4714285714285714,0.4714285714285714,0.4782608695652174,0.34782608695652173,0.6086956521739131,3,-26.9,4.571428571428571
constitutive,0.5,0.5142857142857142,0.4857142857142857,0.5869565217391305,0.391304347826087,0.5434782608695652,1,-33.8,5.230769230769231
constitutive,0.5428571428571428,0.5571428571428572,0.5285714285714286,0.45652173913043476,0.6956521739130435,0.5,4,-34.6,3.8
constitutive,0.35714285714285715,0.3,0.4142857142857143,0.34782608695652173,0.3695652173913043,0.3695652173913043,2,-16.8,6.0
constitutive,0.6857142857142857,0.7142857142857143,0.6571428571428571,0.6956521739130435,0.717391304347826,0.6739130434782609,4,-66.3,5.6875
constitutive,0.5571428571428572,0.5714285714285714,0.5428571428571428,0.6086956521739131,0.5652173913043478,0.5217391304347826,2,-36.8,5.133333333333334
constitutive,0.6428571428571429,0.6,0.6857142857142857,0.5869565217391305,0.6956521739130435,0.6739130434782609,3,-38.0,6.923076923076923
constitutive,0.6285714285714286,0.5857142857142857,0.6714285714285714,0.6304347826086957,0.6521739130434783,0.6304347826086957,3,-37.8,7.333333333333333
constitutive,0.6428571428571429,0.6,0.6857142857142857,0.5869565217391305,0.6956521739130435,0.6739130434782609,3,-38.0,6.923076923076923
constitutive,0.7,0.7142857142857143,0.6857142857142857,0.7391304347826086,0.717391304347826,0.6739130434782609,3,-51.7,4.85
constitutive,0.5,0.44285714285714284,0.5571428571428572,0.43478260869565216,0.45652173913043476,0.6304347826086957,3,-23.7,5.384615384615385
constitutive,0.6714285714285714,0.6714285714285714,0.6714285714285714,0.6304347826086957,0.717391304347826,0.6956521739130435,4,-34.0,5.222222222222222
constitutive,0.5571428571428572,0.6285714285714286,0.4857142857142857,0.7391304347826086,0.391304347826087,0.5652173913043478,3,-30.7,5.571428571428571
constitutive,0.6,0.4857142857142857,0.7142857142857143,0.5,0.5434782608695652,0.782608695652174,4,-35.8,6.833333333333333
constitutive,0.5857142857142857,0.4857142857142857,0.6857142857142857,0.5,0.5869565217391305,0.6956521739130435,3,-47.5,4.444444444444445
constitutive,0.5857142857142857,0.5857142857142857,0.5857142857142857,0.6086956521739131,0.5217391304347826,0.6521739130434783,2,-33.8,3.95
constitutive,0.6142857142857143,0.6714285714285714,0.5571428571428572,0.5869565217391305,0.6956521739130435,0.5869565217391305,3,-31.7,5.733333333333333
constitutive,0.5285714285714286,0.45714285714285713,0.6,0.391304347826087,0.5652173913043478,0.6521739130434783,3,-24.0,5.6923076923076925
constitutive,0.6142857142857143,0.6714285714285714,0.5571428571428572,0.5869565217391305,0.6956521739130435,0.5869565217391305,3,-31.7,5.733333333333333
constitutive,0.5857142857142857,0.6285714285714286,0.5428571428571428,0.6956521739130435,0.5217391304347826,0.5652173913043478,2,-42.3,8.2
constitutive,0.6142857142857143,0.5571428571428572,0.6714285714285714,0.4782608695652174,0.7391304347826086,0.6521739130434783,3,-34.2,5.25
constitutive,0.6,0.5571428571428572,0.6428571428571429,0.5869565217391305,0.6521739130434783,0.5869565217391305,3,-28.4,5.466666666666667
constitutive,0.6142857142857143,0.5285714285714286,0.7,0.43478260869565216,0.6739130434782609,0.7608695652173914,4,-31.1,4.526315789473684
constitutive,0.5142857142857142,0.5142857142857142,0.5142857142857142,0.6086956521739131,0.5217391304347826,0.43478260869565216,2,-14.3,4.0
constitutive,0.5285714285714286,0.4857142857142857,0.5714285714285714,0.5869565217391305,0.391304347826087,0.6304347826086957,4,-28.1,4.5625
constitutive,0.6571428571428571,0.6714285714285714,0.6428571428571429,0.6304347826086957,0.717391304347826,0.6521739130434783,2,-73.1,3.8333333333333335
constitutive,0.6142857142857143,0.6571428571428571,0.5714285714285714,0.6086956521739131,0.7391304347826086,0.5217391304347826,2,-31.0,5.733333333333333
constitutive,0.6285714285714286,0.5857142857142857,0.6714285714285714,0.43478260869565216,0.782608695652174,0.6956521739130435,3,-58.0,4.631578947368421
constitutive,0.5285714285714286,0.6142857142857143,0.44285714285714284,0.6956521739130435,0.5,0.41304347826086957,2,-48.5,4.933333333333334
constitutive,0.6142857142857143,0.5285714285714286,0.7,0.5,0.6956521739130435,0.6739130434782609,3,-49.9,4.2
constitutive,0.6571428571428571,0.6714285714285714,0.6428571428571429,0.6739130434782609,0.6739130434782609,0.6521739130434783,3,-34.5,5.294117647058823
constitutive,0.5,0.5,0.5,0.5652173913043478,0.5434782608695652,0.41304347826086957,3,-44.1,5.0
constitutive,0.5571428571428572,0.6428571428571429,0.4714285714285714,0.6304347826086957,0.5652173913043478,0.5,4,-53.9,4.588235294117647
